[17:50:43] [info] VEKTOR: GLFW Window hints set
[17:50:46] [trace] VEKTOR: Event received: KeyTypedEvent: 100
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 194.332, 552.723
[17:50:46] [trace] VEKTOR: Delta time: 0.0042529106 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.01242137 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 182.984, 553.898
[17:50:46] [trace] VEKTOR: Delta time: 0.0040388107 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0126059055 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 177.289, 554.324
[17:50:46] [trace] VEKTOR: Delta time: 0.0040385723 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012686253 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 170.172, 554.832
[17:50:46] [trace] VEKTOR: Delta time: 0.0052366257 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011404753 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 165.227, 555.723
[17:50:46] [trace] VEKTOR: Delta time: 0.0041298866 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012657881 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 160.867, 556.961
[17:50:46] [trace] VEKTOR: Delta time: 0.0045719147 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.01198554 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 157.18, 558.586
[17:50:46] [trace] VEKTOR: Delta time: 0.004327297 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012318611 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 154.586, 559.664
[17:50:46] [trace] VEKTOR: Delta time: 0.0040357113 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012635708 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 151.484, 560.438
[17:50:46] [trace] VEKTOR: Event received: KeyReleasedEvent: 68
